formula,avg_1st_ionization_potential_(kJ/mol),avg_Allred-Rockow_electronegativity,avg_Atomic_Number,avg_Atomic_Radus,avg_Atomic_Weight,avg_Boiling_Point_(K),avg_Cohesive_energy,avg_Covalent_Radius,avg_Critical_Temperature,avg_Density_(g/mL),avg_Gordy_electonegativity,avg_Melting_point_(K),avg_Mendele_Number,avg_Molar_Denstiy_(mol/ml),avg_Molar_Heat_Capacity(J/mol_K),avg_Nagle_electonegativity,avg_Number_of_unfilled_d_valence_electrons,avg_Number_of_unfilled_f_valence_electrons,avg_Number_of_unfilled_p_valence_electrons,avg_Number_of_unfilled_s_valence_electrons,avg_Orbital_Radius(pm),avg_Pauling_Electronegativity,avg_Period,avg_Zunger_radii_sum,avg_abs_valence,avg_families,avg_gilmor_number_of_valence_electron,avg_group,avg_heat_atomization(kJ/mol),avg_heat_of_fusion_(kJ/mol)_,avg_heat_of_vaporization_(kJ/mol)_,avg_ionic_radius,avg_l_quantum_number,avg_metallic_valence,avg_number_of_valence_electrons,avg_outer_shell_electrons,avg_polarizability(A^3),avg_specific_heat_(J/g_K)_,avg_thermal_conductivity_(W/(m_K))_,avg_valence_d,avg_valence_f,avg_valence_p,avg_valence_s,sum_1st_ionization_potential_(kJ/mol),sum_Allred-Rockow_electronegativity,sum_Atomic_Number,sum_Atomic_Radus,sum_Atomic_Weight,sum_Boiling_Point_(K),sum_Cohesive_energy,sum_Covalent_Radius,sum_Critical_Temperature,sum_Density_(g/mL),sum_Gordy_electonegativity,sum_Melting_point_(K),sum_Mendele_Number,sum_Molar_Denstiy_(mol/ml),sum_Molar_Heat_Capacity(J/mol_K),sum_Nagle_electonegativity,sum_Number_of_unfilled_d_valence_electrons,sum_Number_of_unfilled_f_valence_electrons,sum_Number_of_unfilled_p_valence_electrons,sum_Number_of_unfilled_s_valence_electrons,sum_Orbital_Radius(pm),sum_Pauling_Electronegativity,sum_Period,sum_Zunger_radii_sum,sum_abs_valence,sum_families,sum_gilmor_number_of_valence_electron,sum_group,sum_heat_atomization(kJ/mol),sum_heat_of_fusion_(kJ/mol)_,sum_heat_of_vaporization_(kJ/mol)_,sum_ionic_radius,sum_l_quantum_number,sum_metallic_valence,sum_number_of_valence_electrons,sum_outer_shell_electrons,sum_polarizability(A^3),sum_specific_heat_(J/g_K)_,sum_thermal_conductivity_(W/(m_K))_,sum_valence_d,sum_valence_f,sum_valence_p,sum_valence_s,range_1st_ionization_potential_(kJ/mol),range_Allred-Rockow_electronegativity,range_Atomic_Number,range_Atomic_Radus,range_Atomic_Weight,range_Boiling_Point_(K),range_Cohesive_energy,range_Covalent_Radius,range_Critical_Temperature,range_Density_(g/mL),range_Gordy_electonegativity,range_Melting_point_(K),range_Mendele_Number,range_Molar_Denstiy_(mol/ml),range_Molar_Heat_Capacity(J/mol_K),range_Nagle_electonegativity,range_Number_of_unfilled_d_valence_electrons,range_Number_of_unfilled_f_valence_electrons,range_Number_of_unfilled_p_valence_electrons,range_Number_of_unfilled_s_valence_electrons,range_Orbital_Radius(pm),range_Pauling_Electronegativity,range_Period,range_Zunger_radii_sum,range_abs_valence,range_families,range_gilmor_number_of_valence_electron,range_group,range_heat_atomization(kJ/mol),range_heat_of_fusion_(kJ/mol)_,range_heat_of_vaporization_(kJ/mol)_,range_ionic_radius,range_l_quantum_number,range_metallic_valence,range_number_of_valence_electrons,range_outer_shell_electrons,range_polarizability(A^3),range_specific_heat_(J/g_K)_,range_thermal_conductivity_(W/(m_K))_,range_valence_d,range_valence_f,range_valence_p,range_valence_s,target
Ag2GeS3,870.6666666666666,2.25,29.0,1.1983333333333333,64.09333333333333,1704.4999999999998,3.05,1.2233333333333334,4550.333333333333,5.421666666666667,4.9816666666666665,808.1166666666667,78.83333333333333,0.075,23.708333333333332,2.03,6.666666666666666,14.0,3.6666666666666665,0.3333333333333333,101.53333333333332,2.2683333333333335,3.833333333333333,1.6033333333333333,2.3333333333333335,5.833333333333333,4.333333333333333,14.0,297.0,10.783333333333331,143.57666666666668,1.2416666666666667,0.6666666666666666,3.48,7.333333333333333,4.0,5.1,0.4883333333333333,153.1183333333333,3.333333333333333,0.0,2.3333333333333335,1.6666666666666663,5224.0,13.5,174.0,7.1899999999999995,384.56000000000006,10227.0,18.3,7.34,27302.0,32.53,29.889999999999997,4848.700000000001,473.0,0.45,142.25,12.18,40.0,84.0,22.0,2.0,609.2,13.61,23.0,9.62,14.0,35.0,26.0,84.0,1782.0,64.7,861.4599999999999,7.45,4.0,20.880000000000003,44.0,24.0,30.6,2.9299999999999997,918.71,20.0,0.0,14.0,10.0,269.0,0.7199999999999998,31.0,0.7699999999999999,75.80000000000001,2385.3,1.0,0.51,7086.0,8.43,1.9999999999999996,849.2,23.0,0.04,2.580000000000002,1.0400000000000005,10.0,0.0,4.0,1.0,47.599999999999994,0.6500000000000001,2.0,1.2799999999999998,4.0,3.0,4.0,5.0,98.0,35.22,321.09999999999997,0.6000000000000001,1.0,3.4400000000000004,7.0,5.0,5.0,0.47,428.73,10.0,0.0,4.0,1.0,0.4646000000000003
Ag2GeSe3,841.1666666666666,2.17,38.0,1.2733333333333334,87.53833333333333,1824.65,2.855,1.2933333333333334,4771.833333333333,6.781666666666666,4.9366666666666665,860.2166666666667,79.33333333333333,0.075,24.958333333333332,1.94,6.666666666666666,14.0,3.6666666666666665,0.3333333333333333,106.93333333333332,2.253333333333333,4.333333333333333,1.6983333333333333,2.3333333333333335,5.833333333333333,4.333333333333333,14.0,271.0,13.268333333333333,157.52666666666667,1.3166666666666669,0.6666666666666666,3.48,7.333333333333333,4.0,5.55,0.2933333333333333,153.2433333333333,3.333333333333333,0.0,2.3333333333333335,1.6666666666666663,5047.0,13.02,228.0,7.64,525.23,10947.9,17.13,7.76,28631.0,40.69,29.62,5161.3,476.0,0.45,149.75,11.64,40.0,84.0,22.0,2.0,641.5999999999999,13.52,26.0,10.19,14.0,35.0,26.0,84.0,1626.0,79.61,945.16,7.9,4.0,20.880000000000003,44.0,24.0,33.3,1.76,919.46,20.0,0.0,14.0,10.0,210.0,0.56,15.0,0.6199999999999999,35.260000000000005,2145.0,1.39,0.3700000000000001,6643.0,5.71,1.9099999999999997,745.0000000000001,24.0,0.04,2.110000000000003,0.8600000000000001,10.0,0.0,4.0,1.0,36.8,0.6199999999999999,1.0,1.09,4.0,3.0,4.0,5.0,150.0,30.249999999999996,293.2,0.4500000000000002,1.0,3.4400000000000004,7.0,5.0,4.1000000000000005,0.08,428.48,10.0,0.0,4.0,1.0,0.1251
Ag2HgI4,928.7142857142856,2.1342857142857143,55.14285714285714,1.3728571428571428,131.99,1061.292857142857,1.572857142857143,1.41,2852.9999999999995,7.745714285714285,5.6667,607.3071428571429,83.57142857142857,0.0610428571428571,26.74600142857143,1.9314285714285715,0.0,12.0,3.1428571428571423,0.2857142857142857,112.48571428571428,2.357142857142857,5.142857142857142,1.9328571428571428,2.8571428571428568,6.285714285714286,4.714285714285714,14.57142857142857,151.0,8.025,91.91271428571427,1.4714285714285713,0.8571428571428571,2.1885714285714286,8.857142857142858,4.571428571428571,5.885714285714285,0.2084285714285714,124.02,9.999999999999998,2.0,2.8571428571428568,1.7142857142857142,6501.0,14.94,386.0,9.61,923.93,7429.049999999999,11.010000000000002,9.87,19971.0,54.22,39.6669,4251.15,585.0,0.4273,187.22201,13.52,0.0,84.0,22.0,2.0,787.4,16.5,36.0,13.53,20.0,44.0,33.0,102.0,1057.0,56.175,643.389,10.3,6.0,15.32,62.0,32.0,41.2,1.459,868.14,70.0,14.0,20.0,12.0,277.0,0.5999999999999999,33.0,0.56,92.72,2028.0,2.28,0.1999999999999999,6661.0,8.57,4.3969000000000005,1000.9,31.0,0.06,2.532009999999996,0.8200000000000001,0.0,14.0,5.0,1.0,24.19999999999999,0.7300000000000002,1.0,0.8200000000000001,5.0,4.0,6.0,6.0,223.0,9.005,229.83,0.2000000000000001,2.0,5.44,5.0,6.0,2.9000000000000004,0.1009999999999999,428.55,0.0,14.0,5.0,1.0,1.2763999999999998
Ag2Mo(I2O7)2,1170.190476190476,3.104285714285714,21.9047619047619,0.7866666666666665,49.68,616.4833333333333,2.563809523809524,0.9547619047619048,1421.4342857142856,2.4247619047619047,7.245238095238094,365.4071428571429,84.85714285714286,0.0223809523809523,18.543333333333333,3.0438095238095233,6.904761904761904,13.999999999999998,2.3809523809523805,0.1428571428571428,69.37142857142857,3.0866666666666664,3.0,0.9723809523809523,3.8571428571428568,6.761904761904761,5.714285714285714,15.238095238095235,244.76190476190476,4.236190476190476,58.56666666666666,0.888095238095238,0.9523809523809524,0.7933333333333332,6.666666666666666,5.476190476190476,2.8409523809523805,0.6880952380952381,47.53428571428571,3.095238095238095,0.0,3.619047619047618,1.857142857142857,24574.0,65.19,460.0,16.52,1043.28,12946.15,53.84,20.049999999999997,29850.12,50.92,152.14999999999998,7673.550000000001,1782.0,0.47,389.41,63.92,145.0,294.0,50.0,3.0,1456.8,64.82,63.0,20.42,81.0,142.0,120.0,320.0,5140.0,88.96,1229.9,18.65,20.0,16.66,140.0,115.0,59.66,14.45,998.22,65.0,0.0,76.0,39.0,630.0,2.1399999999999997,45.0,1.42,110.9,4795.0,5.71,0.8,9295.42,10.5,4.819999999999999,2835.4,46.0,0.11,12.44,2.3600000000000003,10.0,0.0,5.0,1.0,107.0,1.51,3.0,2.25,5.0,4.0,5.0,11.0,551.0,31.78,594.59,1.0,2.0,5.78,5.0,6.0,12.010000000000002,0.7100000000000001,428.97,10.0,0.0,5.0,1.0,1.9610999999999996
Ag2SnSe3,832.3333333333333,2.1416666666666666,41.0,1.3066666666666666,95.22166666666666,1731.3166666666668,2.736666666666667,1.325,4340.0,7.113333333333333,4.928333333333333,740.9833333333333,79.5,0.0733333333333333,25.576666666666668,1.9216666666666664,5.0,14.0,3.6666666666666665,0.3333333333333333,109.43333333333332,2.245,4.5,1.7516666666666665,2.3333333333333335,5.666666666666666,4.333333333333333,14.0,258.5,8.283333333333333,151.67666666666665,1.35,0.6666666666666666,3.48,7.333333333333333,3.6666666666666665,5.816666666666666,0.2783333333333333,154.36,5.0,0.0,2.3333333333333335,1.6666666666666663,4994.0,12.85,246.0,7.84,571.3299999999999,10387.9,16.42,7.949999999999999,26040.0,42.68,29.57,4445.9,477.0,0.44,153.46,11.53,30.0,84.0,22.0,2.0,656.5999999999999,13.47,27.0,10.51,14.0,34.0,26.0,84.0,1551.0,49.7,910.06,8.1,4.0,20.880000000000003,44.0,22.0,34.9,1.67,926.16,30.0,0.0,14.0,10.0,232.0,0.6100000000000001,16.0,0.6199999999999999,39.75,1585.0,0.6800000000000002,0.3700000000000001,5723.0,5.71,1.9099999999999997,745.0000000000001,24.0,0.04,1.6799999999999995,0.8600000000000001,10.0,0.0,4.0,1.0,36.8,0.6199999999999999,1.0,1.09,4.0,3.0,4.0,5.0,75.0,4.61,258.1,0.4500000000000002,1.0,3.4400000000000004,7.0,5.0,4.1000000000000005,0.09,428.48,10.0,0.0,4.0,1.0,0.0586000000000002
Ag3AsS3,877.1428571428571,2.227142857142857,31.714285714285715,1.2471428571428569,70.67714285714285,1499.8785714285714,2.9085714285714284,1.262857142857143,4068.857142857142,6.2057142857142855,4.895714285714285,850.4928571428571,77.57142857142857,0.0799999999999999,24.154285714285713,1.99,5.7142857142857135,14.0,3.8571428571428568,0.4285714285714285,104.12857142857143,2.244285714285714,4.0,1.694285714285714,2.142857142857143,5.571428571428571,4.142857142857142,13.714285714285715,284.4285714285714,9.537142857142856,116.55714285714286,1.2785714285714285,0.5714285714285714,3.617142857142857,8.0,3.714285714285714,5.242857142857143,0.4542857142857142,191.11571428571423,4.285714285714286,0.0,2.142857142857143,1.5714285714285712,6140.0,15.59,222.0,8.729999999999999,494.74,10499.15,20.360000000000003,8.84,28482.0,43.440000000000005,34.269999999999996,5953.450000000001,543.0,0.56,169.08,13.93,40.0,98.0,27.0,3.0,728.9,15.71,28.0,11.86,15.0,39.0,29.0,96.0,1991.0,66.76,815.9,8.950000000000001,4.0,25.32,56.0,26.0,36.7,3.1799999999999997,1337.81,30.0,0.0,15.0,11.0,269.0,0.7199999999999998,31.0,0.7699999999999999,75.80000000000001,1767.3000000000002,0.1099999999999998,0.51,6166.0,8.43,1.9999999999999996,849.2,23.0,0.04,2.580000000000002,1.0400000000000005,10.0,0.0,4.0,1.0,47.599999999999994,0.6500000000000001,2.0,1.2799999999999998,4.0,3.0,4.0,5.0,23.0,25.98,240.78,0.6000000000000001,1.0,3.4400000000000004,6.0,5.0,5.0,0.47,428.73,10.0,0.0,4.0,1.0,1.6277999999999997
Ag3AsSe3,851.8571428571429,2.1585714285714284,39.42857142857143,1.3114285714285714,90.77285714285712,1602.8642857142854,2.741428571428571,1.3228571428571427,4258.714285714285,7.371428571428572,4.857142857142857,895.15,78.0,0.0799999999999999,25.22571428571428,1.9128571428571428,5.7142857142857135,14.0,3.8571428571428568,0.4285714285714285,108.75714285714284,2.2314285714285713,4.428571428571429,1.7757142857142854,2.142857142857143,5.571428571428571,4.142857142857142,13.714285714285715,262.1428571428571,11.667142857142856,128.51428571428573,1.3428571428571427,0.5714285714285714,3.617142857142857,8.0,3.714285714285714,5.628571428571428,0.2871428571428571,191.22285714285712,4.285714285714286,0.0,2.142857142857143,1.5714285714285712,5963.0,15.11,276.0,9.18,635.4100000000001,11220.05,19.19,9.259999999999998,29811.0,51.60000000000001,34.0,6266.05,546.0,0.56,176.58,13.39,40.0,98.0,27.0,3.0,761.3,15.62,31.0,12.43,15.0,39.0,29.0,96.0,1835.0,81.67000000000002,899.6,9.4,4.0,25.32,56.0,26.0,39.400000000000006,2.01,1338.56,30.0,0.0,15.0,11.0,216.0,0.56,14.0,0.6199999999999999,32.95,1595.0,0.5,0.3700000000000001,5723.0,5.71,1.9099999999999997,745.0000000000001,24.0,0.04,0.6300000000000026,0.8600000000000001,10.0,0.0,4.0,1.0,36.8,0.6199999999999999,1.0,1.09,4.0,3.0,4.0,5.0,75.0,21.01,215.82,0.4500000000000002,1.0,3.4400000000000004,6.0,5.0,4.1000000000000005,0.09,428.48,10.0,0.0,4.0,1.0,0.8906000000000001
Ag3SbS3,861.0,2.194285714285714,34.285714285714285,1.274285714285714,77.36857142857143,1690.307142857143,2.878571428571428,1.2899999999999998,4493.142857142857,6.3428571428571425,4.87142857142857,823.9214285714286,77.71428571428572,0.0757142857142857,24.275714285714283,1.957142857142857,4.285714285714286,14.0,3.8571428571428568,0.4285714285714285,106.87142857142857,2.2257142857142855,4.142857142857142,1.7442857142857142,2.142857142857143,5.571428571428571,4.142857142857142,13.714285714285715,278.7142857142857,8.418571428571427,122.61142857142858,1.3214285714285714,0.5714285714285714,3.617142857142857,8.0,3.2857142857142856,5.571428571428571,0.4371428571428571,187.44428571428568,5.7142857142857135,0.0,2.142857142857143,1.5714285714285712,6027.0,15.36,240.0,8.92,541.58,11832.15,20.15,9.03,31452.0,44.4,34.099999999999994,5767.450000000001,544.0,0.53,169.93,13.7,30.0,98.0,27.0,3.0,748.0999999999999,15.58,29.0,12.21,15.0,39.0,29.0,96.0,1951.0,58.93000000000001,858.28,9.25,4.0,25.32,56.0,23.0,39.0,3.0599999999999996,1312.11,40.0,0.0,15.0,11.0,269.0,0.7199999999999998,35.0,0.7699999999999999,89.69,1767.3000000000002,0.2000000000000001,0.51,6166.0,8.43,1.9999999999999996,849.2,23.0,0.05,2.8000000000000007,1.0400000000000005,10.0,0.0,4.0,1.0,47.599999999999994,0.6500000000000001,2.0,1.2799999999999998,4.0,3.0,4.0,5.0,22.0,18.15,240.78,0.6000000000000001,1.0,3.4400000000000004,6.0,5.0,5.0,0.5,428.73,10.0,0.0,4.0,1.0,1.5142
Ag5IO6,1045.5833333333337,2.7808333333333333,28.0,1.0233333333333334,63.52083333333334,1118.65,2.631666666666667,1.1133333333333333,3262.206666666667,4.785833333333334,6.283333333333333,574.2416666666667,78.58333333333334,0.045,20.185833333333335,2.6033333333333335,5.0,14.0,3.5833333333333335,0.4166666666666667,84.78333333333333,2.7458333333333336,3.5,1.3591666666666669,2.4166666666666665,5.833333333333334,4.416666666666666,14.0,251.75,5.470000000000001,107.84250000000002,1.0833333333333337,0.5833333333333334,2.266666666666667,8.166666666666668,4.0,4.1033333333333335,0.5775,178.80249999999998,5.0,0.0,2.4166666666666665,1.5833333333333337,12547.0,33.370000000000005,336.0,12.28,762.25,13423.8,31.58,13.36,39146.48,57.43,75.4,6890.9,943.0,0.54,242.23,31.24,60.0,168.0,43.0,5.0,1017.4,32.95,42.0,16.31,29.0,70.0,53.0,168.0,3021.0,65.63999999999999,1294.11,13.0,7.0,27.200000000000003,98.0,48.0,49.24,6.930000000000001,2145.6299999999997,60.0,0.0,29.0,19.0,583.0,1.7399999999999998,45.0,1.17,110.9,2395.0,1.84,0.8,7325.42,10.5,4.52,1180.4,31.0,0.1,12.44,2.17,10.0,0.0,5.0,1.0,83.6,1.51,3.0,1.91,5.0,4.0,5.0,6.0,177.0,11.08,247.17,1.0,1.0,5.44,5.0,6.0,7.11,0.7100000000000001,428.97,10.0,0.0,5.0,1.0,0.0205000000000001
Ag7AsS6,861.7142857142857,2.202857142857143,32.714285714285715,1.2835714285714284,73.03071428571428,1613.807142857143,2.907857142857143,1.2871428571428571,4453.142857142857,6.546428571428572,4.801428571428572,860.85,76.21428571428572,0.0814285714285714,24.199285714285715,1.9428571428571428,5.0,14.0,4.071428571428571,0.5,106.16428571428573,2.226428571428571,4.071428571428571,1.762857142857143,1.9285714285714284,5.428571428571429,3.928571428571429,13.428571428571429,283.1428571428571,8.365714285714287,131.97285714285715,1.3107142857142855,0.5,3.791428571428572,8.428571428571427,3.4285714285714284,5.5,0.4478571428571428,218.18714285714287,5.0,0.0,1.9285714285714284,1.5,12064.0,30.84,458.0,17.97,1022.43,22593.300000000003,40.71000000000001,18.02,62344.0,91.65,67.22,12051.9,1067.0,1.14,338.79,27.200000000000003,70.0,196.0,57.0,7.0,1486.3,31.17,57.0,24.68,27.0,76.0,55.0,188.0,3964.0,117.12,1847.62,18.35,7.0,53.080000000000005,118.0,48.0,77.0,6.27,3054.62,70.0,0.0,27.0,21.0,269.0,0.7199999999999998,31.0,0.7699999999999999,75.80000000000001,1767.3000000000002,0.1099999999999998,0.51,6166.0,8.43,1.9999999999999996,849.2,23.0,0.04,2.580000000000002,1.0400000000000005,10.0,0.0,4.0,1.0,47.599999999999994,0.6500000000000001,2.0,1.2799999999999998,4.0,3.0,4.0,5.0,23.0,25.98,240.78,0.6000000000000001,1.0,3.4400000000000004,6.0,5.0,5.0,0.47,428.73,10.0,0.0,4.0,1.0,0.5009999999999999
Ag8GeS6,840.6666666666667,2.1660000000000004,33.6,1.3153333333333332,75.19933333333333,1819.43,2.97,1.3053333333333337,5074.933333333334,6.782666666666667,4.7026666666666666,894.4966666666667,75.13333333333333,0.082,24.177333333333337,1.89,4.666666666666667,14.0,4.266666666666667,0.5333333333333333,108.25333333333332,2.195333333333333,4.133333333333333,1.8133333333333337,1.7333333333333334,5.333333333333334,3.7333333333333334,13.2,288.2,9.177333333333335,159.62266666666667,1.336666666666667,0.4666666666666667,3.968,8.533333333333333,3.2,5.78,0.4333333333333333,232.90133333333333,5.333333333333333,0.0,1.7333333333333334,1.4666666666666668,12610.0,32.489999999999995,504.0,19.73,1127.99,27291.450000000004,44.55,19.58,76124.0,101.74,70.53999999999999,13417.45,1127.0,1.23,362.66,28.35,70.0,210.0,64.0,8.0,1623.8,32.93,62.0,27.2,26.0,80.0,56.0,198.0,4323.0,137.66,2394.34,20.05,7.0,59.52,128.0,48.0,86.69999999999999,6.5,3493.52,80.0,0.0,26.0,22.0,269.0,0.7199999999999998,31.0,0.7699999999999999,75.80000000000001,2385.3,1.0,0.51,7086.0,8.43,1.9999999999999996,849.2,23.0,0.04,2.580000000000002,1.0400000000000005,10.0,0.0,4.0,1.0,47.599999999999994,0.6500000000000001,2.0,1.2799999999999998,4.0,3.0,4.0,5.0,98.0,35.22,321.09999999999997,0.6000000000000001,1.0,3.4400000000000004,7.0,5.0,5.0,0.47,428.73,10.0,0.0,4.0,1.0,0.6102000000000003
AgAsS2,919.5,2.315,28.0,1.1375,61.7325,1202.75,2.9025,1.19,3052.0,5.0925,5.18,774.3000000000001,81.25,0.075,23.9025,2.135,7.5,14.0,3.25,0.25,97.675,2.3175,3.75,1.5,2.75,6.0,4.75,14.5,286.0,10.61,76.23500000000001,1.1875,0.75,3.1100000000000003,7.0,4.5,4.5,0.4975,119.885,2.5,0.0,2.75,1.75,3678.0,9.26,112.0,4.55,246.93,4811.0,11.61,4.76,12208.0,20.37,20.72,3097.2000000000003,325.0,0.3,95.61,8.54,30.0,56.0,13.0,1.0,390.7,9.27,15.0,6.0,11.0,24.0,19.0,58.0,1144.0,42.44,304.94000000000005,4.75,3.0,12.44,28.0,18.0,18.0,1.99,479.54,10.0,0.0,11.0,7.0,269.0,0.7199999999999998,31.0,0.7699999999999999,75.80000000000001,1767.3000000000002,0.1099999999999998,0.51,6166.0,8.43,1.9999999999999996,849.2,23.0,0.04,2.580000000000002,1.0400000000000005,10.0,0.0,4.0,1.0,47.599999999999994,0.6500000000000001,2.0,1.2799999999999998,4.0,3.0,4.0,5.0,23.0,25.98,240.78,0.6000000000000001,1.0,3.4400000000000004,6.0,5.0,5.0,0.47,428.73,10.0,0.0,4.0,1.0,1.4968
AgBi(PS3)2,945.8,2.392,25.6,1.032,57.121037,973.17,2.9090000000000003,1.1230000000000002,2197.2,3.631,5.36988,472.95,84.5,0.06267,23.47476444,2.266,8.0,12.6,2.7,0.1,92.79,2.381,3.5,1.3457,3.3,6.5,5.3,15.2,279.5,3.4240000000000004,43.84400000000001,1.12,0.9,2.644,6.199999999999999,5.199999999999999,3.99,0.616,43.897000000000006,2.0,1.4,3.3,1.9,9458.0,23.92,256.0,10.32,571.21037,9731.7,29.090000000000003,11.23,21972.0,36.31,53.69879999999999,4729.5,845.0,0.6267,234.7476444,22.660000000000004,80.0,126.0,27.0,1.0,927.9,23.81,35.0,13.457,33.0,65.0,53.0,152.0,2795.0,34.24,438.44,11.2,9.0,26.44,62.0,52.0,39.9,6.16,438.97,20.0,14.0,33.0,19.0,309.0,0.7199999999999998,68.0,0.7699999999999999,178.01037,1932.0,1.25,0.51,6486.0,8.68,1.9999999999999996,917.9,23.0,0.0533,2.580000000000002,1.0400000000000005,10.0,14.0,4.0,1.0,48.5,0.6500000000000001,3.0,1.2799999999999998,4.0,3.0,4.0,5.0,108.0,10.64,240.78,0.6000000000000001,1.0,3.4400000000000004,6.0,5.0,5.0,0.65,428.76,10.0,14.0,4.0,1.0,1.1837999999999995
AgBi(PSe3)2,910.4,2.2960000000000003,36.4,1.122,85.255037,1117.35,2.6750000000000003,1.207,2463.0,5.263,5.31588,535.47,85.1,0.06267,24.97476444,2.158,8.0,12.6,2.7,0.1,99.27,2.3629999999999995,4.1,1.4597,3.3,6.5,5.3,15.2,248.3,6.406000000000001,60.584,1.21,0.9,2.644,6.199999999999999,5.199999999999999,4.53,0.382,44.047,2.0,1.4,3.3,1.9,9104.0,22.96,364.0,11.22,852.5503699999999,11173.5,26.75,12.07,24630.0,52.63,53.1588,5354.7,851.0,0.6267,249.7476444,21.58,80.0,126.0,27.0,1.0,992.7,23.63,41.0,14.597,33.0,65.0,53.0,152.0,2483.0,64.06,605.84,12.1,9.0,26.44,62.0,52.0,45.3,3.82,440.47,20.0,14.0,33.0,19.0,309.0,0.56,68.0,0.6699999999999999,178.01037,1932.0,1.25,0.47,6486.0,8.68,1.9099999999999997,917.9,24.0,0.0533,1.5,0.8600000000000001,10.0,14.0,4.0,1.0,37.7,0.6199999999999999,3.0,1.14,4.0,3.0,4.0,5.0,108.0,10.64,238.45,0.6000000000000001,1.0,3.4400000000000004,6.0,5.0,4.300000000000001,0.65,428.76,10.0,14.0,4.0,1.0,1.2778
AgBiPbS3,858.3333333333333,2.2506666666666666,43.33333333333333,1.21,103.37672833333332,1414.1666666666667,2.618333333333333,1.2533333333333334,3573.6666666666665,6.3100000000000005,5.161533333333333,589.6333333333333,82.66666666666666,0.0636166666666666,24.278940733333332,2.085,5.0,9.333333333333332,3.1666666666666665,0.1666666666666666,103.76666666666668,2.26,4.333333333333333,1.6278333333333332,2.833333333333333,5.833333333333333,4.833333333333333,14.666666666666666,254.0,5.4265,93.74666666666668,1.3333333333333333,0.8333333333333333,2.8133333333333335,6.333333333333333,4.666666666666666,5.133333333333333,0.4366666666666666,78.83,5.0,4.666666666666666,2.833333333333333,1.8333333333333333,5150.0,13.504,260.0,7.26,620.26037,8485.0,15.71,7.52,21442.0,37.86,30.969199999999997,3537.8,496.0,0.3817,145.6736444,12.510000000000002,30.0,56.0,19.0,1.0,622.6,13.56,26.0,9.767,17.0,35.0,29.0,88.0,1524.0,32.559,562.4799999999999,8.0,5.0,16.880000000000003,38.0,28.0,30.8,2.62,472.98,30.0,28.0,17.0,11.0,297.0,0.7359999999999998,67.0,0.7699999999999999,176.91037,1767.3000000000002,0.9200000000000004,0.51,6166.0,9.33,1.9999999999999996,849.2,23.0,0.0533,4.166,1.0400000000000005,10.0,14.0,4.0,1.0,48.5,0.71,3.0,1.2799999999999998,4.0,3.0,4.0,5.0,88.0,9.58,240.78,0.8,1.0,3.4400000000000004,7.0,5.0,5.0,0.59,428.73,10.0,14.0,4.0,1.0,0.0682999999999998
AgBiS2,858.5,2.2649999999999997,40.5,1.21,95.2475925,1438.5,2.7075000000000005,1.2575,3682.0,6.0975,5.0947,637.8000000000001,81.75,0.066675,23.991911100000003,2.0650000000000004,5.0,10.5,3.25,0.25,105.025,2.2775,4.25,1.64425,2.75,5.75,4.75,14.5,262.25,6.510000000000001,93.745,1.3,0.75,3.1100000000000003,7.0,4.5,5.275,0.4449999999999999,109.3525,5.0,3.5,2.75,1.75,3434.0,9.06,162.0,4.84,380.99037,5754.0,10.830000000000002,5.03,14728.0,24.39,20.3788,2551.2000000000003,327.0,0.2667,95.9676444,8.260000000000002,20.0,42.0,13.0,1.0,420.1,9.11,17.0,6.577,11.0,23.0,19.0,58.0,1049.0,26.040000000000003,374.98,5.2,3.0,12.44,28.0,18.0,21.1,1.7799999999999998,437.41,20.0,14.0,11.0,7.0,297.0,0.7199999999999998,67.0,0.7699999999999999,176.91037,1767.3000000000002,0.77,0.51,6166.0,8.43,1.9999999999999996,849.2,23.0,0.0533,2.580000000000002,1.0400000000000005,10.0,14.0,4.0,1.0,48.5,0.6500000000000001,3.0,1.2799999999999998,4.0,3.0,4.0,5.0,77.0,9.58,240.78,0.6000000000000001,1.0,3.4400000000000004,6.0,5.0,5.0,0.59,428.73,10.0,14.0,4.0,1.0,0.4917999999999995
